ARO_Accession,CARD_Name,ARO_Categories,Primary_ResFinder_Match,Primary_Tier,Documented_Synonym_Alternates,Excluded_ClassMismatch_Candidates
ARO:3001396,OXA-1,antibiotic inactivation; carbapenem; cephalosporin; penam,blaOXA-1,debla,blaOXA-30 [alias_bridge],
ARO:3001399,OXA-4,antibiotic inactivation; carbapenem; cephalosporin; penam,blaOXA-4,debla,blaOXA-33 [alias_bridge],
ARO:3001419,OXA-24,antibiotic inactivation; carbapenem; cephalosporin; monobactam; penam,blaOXA-24,debla,blaOXA-40 [alias_bridge],
ARO:3001797,OXA-46,antibiotic inactivation; carbapenem; cephalosporin; penam,blaOXA-46,debla,blaOXA-81 [alias_bridge],
ARO:3001866,CTX-M-3,antibiotic inactivation; cephalosporin; cephamycin; penam,blaCTX-M-3,debla,blaCTX-M-133 [alias_bridge],
ARO:3001877,CTX-M-14,antibiotic inactivation; cephalosporin,blaCTX-M-14,debla,blaCTX-M-18 [alias_bridge],
ARO:3001917,CTX-M-55,antibiotic inactivation; cephalosporin,blaCTX-M-55,debla,blaCTX-M-57 [alias_bridge],
ARO:3002013,CMY-2,antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam,blaCMY-2,debla,blaBIL-1 [alias_bridge],
ARO:3002199,IMP-8,antibiotic inactivation; carbapenem; cephalosporin; cephamycin; penam; penem,blaIMP-8,debla,blaIMP-47 [alias_bridge],
ARO:3002312,KPC-2,antibiotic inactivation; carbapenem; cephalosporin; monobactam; penam,blaKPC-2,debla,blaKPC-1 [alias_bridge],
ARO:3002602,aadA2,aminoglycoside antibiotic; antibiotic inactivation,aadA2,exact,aadA1b [alias_bridge]; ant(4')-Ib [alias_bridge],
ARO:3002626,ANT(6)-Ia,aminoglycoside antibiotic; antibiotic inactivation,ant(6)-Ia,case_insensitive,aadE [alias_bridge],
ARO:3002639,APH(3'')-Ib,aminoglycoside antibiotic; antibiotic inactivation,strA,alias_bridge,aph(6)-Ia [alias_bridge],
ARO:3002659,APH(6)-Ic,aminoglycoside antibiotic; antibiotic inactivation,aph(6)-Ic,case_insensitive,str [alias_bridge],
ARO:3003559,cepA,antibiotic inactivation; cephalosporin,cepA,exact,blaCEPA [debla],
ARO:3004629,AAC(6')-Im,aminoglycoside antibiotic; antibiotic inactivation,aac(6')-Im,case_insensitive,aac(6')-Il [alias_bridge],
ARO:3004635,AAC(6')-Il,aminoglycoside antibiotic; antibiotic inactivation,aac(6')-Il,case_insensitive,aac(6')-Im [alias_bridge],
ARO:3004784,FAR-1,antibiotic inactivation; penam,blaFAR-1,debla,far1 [loose],far1 [loose]
ARO:3006224,CepA-29,antibiotic inactivation; cephalosporin,cepA-29,case_insensitive,blaCEPA-29 [debla],
ARO:3006225,CepA-44,antibiotic inactivation; cephalosporin,cepA-44,case_insensitive,blaCEPA-44 [debla],
ARO:3006226,CepA-49,antibiotic inactivation; cephalosporin,cepA-49,case_insensitive,blaCEPA-49 [debla],
