ARO_Accession,CARD_Name,Model_Type,ARO_Categories,Match_Status,ResFinder_Gene_Name,ResFinder_Class,Match_Tier,Match_Confidence,Alternate_ResFinder_Synonyms,Excluded_Candidates_ClassMismatch,N_Pathogens_With_Hit,Max_NCBI_WGS_Prevalence_Pct,Top_Pathogen_By_WGS_Pct,Has_Perfect_Strict_Hit
ARO:3000005,vanD,protein homolog model,antibiotic target alteration; glycopeptide antibiotic,matched,VanD,Glycopeptide,case_insensitive,High,,,5,25.58,Enterocloster clostridioformis,True
ARO:3000010,vanA,protein homolog model,antibiotic target alteration; glycopeptide antibiotic,matched,VanA,Glycopeptide,case_insensitive,High,,,7,28.71,Enterococcus faecium,True
ARO:3000013,vanB,protein homolog model,antibiotic target alteration; glycopeptide antibiotic,matched,VanB,Glycopeptide,case_insensitive,High,,,3,4.41,Enterococcus faecium,True
ARO:3000118,vgaB,protein homolog model,antibiotic target protection; pleuromutilin antibiotic; streptogramin A antibiotic; streptogramin antibiotic,matched,vga(B),Macrolide resistance,loose,High,,,2,0.75,Staphylococcus epidermidis,True
ARO:3000149,FosA,protein homolog model,antibiotic inactivation; phosphonic acid antibiotic,matched,fosA,Fosfomycin resistance,case_insensitive,High,,,6,67.57,Pseudomonas aeruginosa,True
ARO:3000165,tet(A),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(A),Tetracycline,exact,High,,,62,37.62,Shigella sonnei,True
ARO:3000166,tet(B),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(B),Tetracycline,exact,High,,,54,67.55,Shigella flexneri,True
ARO:3000167,tet(C),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(C),Tetracycline,exact,High,,,67,57.14,Achromobacter insolitus,True
ARO:3000168,tet(D),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(D),Tetracycline,exact,High,,,42,15.38,Citrobacter werkmanii,True
ARO:3000172,FosB,protein homolog model,antibiotic inactivation; phosphonic acid antibiotic,matched,fosB,Fosfomycin resistance,case_insensitive,High,,,3,82.25,Bacillus cereus,True
ARO:3000173,tet(E),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(E),Tetracycline,exact,High,,,3,20.43,Aeromonas caviae,True
ARO:3000175,tet(H),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(H),Tetracycline,exact,High,,,11,41.38,Histophilus somni,True
ARO:3000178,tet(K),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(K),Tetracycline,exact,High,,,18,15.38,Staphylococcus pasteuri,True
ARO:3000180,tetA(P),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tetA(P),Tetracycline,exact,High,,,2,0.24,Clostridium perfringens,True
ARO:3000182,tet(Y),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(Y),Tetracycline,exact,High,,,11,50.0,Acinetobacter wuhouensis,True
ARO:3000183,tet(Z),protein homolog model,antibiotic efflux; tetracycline antibiotic,matched,tet(Z),Tetracycline,exact,High,,,1,16.67,Trueperella pyogenes,True
ARO:3000186,tet(M),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(M),Tetracycline,exact,High,,,99,71.43,Peptoniphilus harei,True
ARO:3000190,tet(O),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(O),Tetracycline,exact,High,,,51,44.44,Roseburia hominis,True
ARO:3000191,tet(Q),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(Q),Tetracycline,exact,High,,,24,100.0,Eubacterium limosum,True
ARO:3000192,tet(S),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(S),Tetracycline,exact,High,,,15,15.56,Lactococcus garvieae,True
ARO:3000193,tet(T),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(T),Tetracycline,exact,High,,,2,0.93,Streptococcus dysgalactiae,True
ARO:3000194,tet(W),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(W),Tetracycline,exact,High,,,43,80.0,Christensenella minuta,True
ARO:3000195,tetB(P),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tetB(P),Tetracycline,exact,High,,,10,100.0,Peptacetobacter hiranonis,True
ARO:3000196,tet(32),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(32),Tetracycline,exact,High,,,18,20.93,Enterocloster clostridioformis,True
ARO:3000197,tet(36),protein homolog model,antibiotic target protection; tetracycline antibiotic,matched,tet(36),Tetracycline,exact,High,,,11,100.0,Clostridium septicum,True
ARO:3000198,FosX,protein homolog model,antibiotic inactivation; phosphonic acid antibiotic,matched,fosX,Fosfomycin resistance,case_insensitive,High,,,2,74.47,Listeria monocytogenes,True
ARO:3000205,tet(X),protein homolog model,antibiotic inactivation; glycylcycline; tetracycline antibiotic,matched,tet(X),Tetracycline,exact,High,,,17,100.0,Myroides phaeus,True
ARO:3000230,ANT(2'')-Ia,protein homolog model,aminoglycoside antibiotic; antibiotic inactivation,matched,aadB,Aminoglycoside,alias_bridge,Medium,,,55,17.65,Alcaligenes faecalis,True
ARO:3000250,ErmC,protein homolog model,antibiotic target alteration; lincosamide antibiotic; macrolide antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,erm(C),Macrolide resistance,loose,High,,,30,21.42,Staphylococcus epidermidis,True
ARO:3000251,msrA,protein homolog model,antibiotic target protection; macrolide antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,msr(A),Macrolide resistance,loose,High,,,14,65.0,Staphylococcus arlettae,True
ARO:3000300,lsaA,protein homolog model,antibiotic target protection; lincosamide antibiotic; pleuromutilin antibiotic; streptogramin A antibiotic; streptogramin antibiotic; streptogramin B antibiotic,matched,lsa(A),Macrolide resistance,loose,High,,,1,2.79,Enterococcus faecalis,True
ARO:3000316,mphA,protein homolog model,antibiotic inactivation; macrolide antibiotic,matched,mph(A),Macrolide resistance,loose,High,,,48,24.32,Citrobacter portucalensis,True
ARO:3000318,mphB,protein homolog model,antibiotic inactivation; macrolide antibiotic,matched,mph(B),Macrolide resistance,loose,High,,,7,1.79,Streptococcus uberis,True
ARO:3000319,mphC,protein homolog model,antibiotic inactivation; macrolide antibiotic,matched,mph(C),Macrolide resistance,loose,High,,,11,41.07,Staphylococcus equorum,True
